0 0:0:2 1:3:0 2:35:1 3:41:81 4:190:15 5:234:5
0 0:1:0 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
0 0:0:2 1:5:4 2:37:2 3:42:0 4:191:0 5:235:0
0 0:0:2 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:2:1 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:6:18 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:2:1 1:7:12 2:36:5 3:42:0 4:191:0 5:235:0
1 0:1:0 1:8:27 2:36:5 3:43:53 4:192:39 5:234:5
1 0:1:0 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:9:29 2:36:5 3:42:0 4:191:0 5:235:0
0 0:0:2 1:7:12 2:36:5 3:42:0 4:191:0 5:235:0
1 0:2:1 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
0 0:2:1 1:7:12 2:36:5 3:44:99 4:193:27 5:236:4
1 0:1:0 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
1 0:0:2 1:5:4 2:35:1 3:42:0 4:191:0 5:235:0
0 0:2:1 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:7:12 2:38:3 3:42:0 4:191:0 5:235:0
0 0:0:2 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
1 0:2:1 1:7:12 2:36:5 3:45:134 4:194:36 5:234:5
0 0:1:0 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
0 0:2:1 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:10:19 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:4:1 2:36:5 3:46:71 4:195:20 5:237:1
0 0:1:0 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:10:19 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
1 0:0:2 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
1 0:1:0 1:11:6 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:12:2 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:4:1 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:8:27 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:5:4 2:36:5 3:47:42 4:196:22 5:237:1
0 0:2:1 1:5:4 2:35:1 3:42:0 4:191:0 5:235:0
0 0:2:1 1:13:31 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:14:9 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:11:6 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:0:2 1:7:12 2:36:5 3:42:0 4:191:0 5:235:0
1 0:0:2 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:0:2 1:5:4 2:36:5 3:42:0 4:191:0 5:235:0
0 0:1:0 1:4:1 2:38:3 3:42:0 4:191:0 5:235:0
1 0:1:0 1:7:12 2:36:5 3:42:0 4:191:0 5:235:0
